,,HLAVNÕ MÃSTO PRAHA,,,,,,,,,,,,,,,
CZ020,2101,Beneöov,47,V·clavice,532061,obec,3,1,825,624,130,90,2,1,-,,CZ0201
CZ020,2101,Beneöov,48,Vodslivy,532614,obec,1,1,471,102,17,12,-,-,-,,CZ0201
CZ020,2101,Beneöov,49,Vranov,530921,obec,9,2,949,436,63,90,-,-,-,,CZ0201
CZ020,2101,Beneöov,50,Vysok˝ ⁄jezd,513482,obec,2,1,407,192,18,48,-,1,-,,CZ0201
CZ020,2101,Beneöov,51,Xaverov,571415,obec,1,1,217,55,5,8,-,-,-,,CZ0201
CZ020,2102,Beroun,1,BavorynÏ,534421,obec,5,1,222,422,96,59,2,1,1,,CZ0202
CZ020,2102,Beroun,2,Beroun,531057,mÏsto,7,4,3 125,20 809,3 728,3 922,2,1,1,,CZ0202
CZ020,2102,Beroun,3,Broumy,531081,obec,1,1,2 858,988,184,183,2,1,-,,CZ0202
CZ020,2102,Beroun,4,Bubovice,531103,obec,1,1,410,587,138,59,2,1,1,,CZ0202
CZ020,2102,Beroun,5,Bykoö,534145,obec,1,1,407,244,40,50,1,1,-,,CZ0202
CZ020,2102,Beroun,6,Hl·sn· T¯ebaÚ,531171,obec,2,1,408,1 209,269,205,2,1,1,,CZ0202
CZ020,2102,Beroun,7,Hudlice,531227,obec,1,1,2 075,1 255,218,265,2,1,1,,CZ0202
CZ020,2102,Beroun,8,H˝skov,531243,obec,1,1,640,2 142,400,339,2,1,1,,CZ0202
CZ020,2102,Beroun,9,ChodouÚ,534447,obec,1,1,425,730,132,125,2,1,1,,CZ0202
CZ020,2102,Beroun,10,Chrustenice,533670,obec,1,1,673,1 064,213,152,2,1,1,,CZ0202
CZ020,2102,Beroun,11,ChyÚava,531294,obec,5,4,3 794,1 871,271,389,2,1,1,,CZ0202
CZ020,2102,Beroun,12,Karlötejn,531316,mÏstys,1,2,1 208,825,134,184,2,1,1,,CZ0202
CZ020,2102,Beroun,13,KonÏprusy,531332,obec,2,2,604,257,41,37,2,-,1,,CZ0202
CZ020,2102,Beroun,14,Korno,533793,obec,1,1,518,120,30,18,-,-,-,,CZ0202
